handle,name,url,category,kind,languages,why,source_urls,source_methods,source_checked_at,notes
1X_Tech,1X,https://x.com/1X_Tech,robotics,organization,en,家庭用ロボットと身体性AI製品の情報。,https://1x.tech/,owner-link,2026-09-13,
abacaj,anton,https://x.com/abacaj,infra,person,en,ローカルモデル、推論エンジニアリング、AI開発の実験。,https://x.com/abacaj/with_replies,x-index,2026-09-13,
AI21Labs,AI21 Labs,https://x.com/AI21Labs,labs,organization,en,言語モデルと企業向けAI製品の資料。,https://x.com/AI21Labs/with_replies,x-index,2026-09-13,
AIatMeta,AI at Meta,https://x.com/AIatMeta,labs,organization,en,モデル、オープンなAI、研究の公式情報。,https://x.com/metaai/with_replies,owner-link,2026-09-13,
Alibaba_Qwen,Qwen,https://x.com/Alibaba_Qwen,labs,organization,en,オープンモデル、マルチモーダル機能、技術報告。,https://x.com/Alibaba_Qwen/status/1957502851888083197,x-index,2026-09-13,
allen_ai,Ai2,https://x.com/allen_ai,labs,organization,en,オープンモデル、科学のためのAI、研究ツール。,https://x.com/allen_ai/status/1798440545574158768,x-index,2026-09-13,
altryne,Alex Volkov,https://x.com/altryne,creative,person,en,生成AIツール、プロトタイプ、創作の実践。,https://x.com/altryne/status/2033954681752588308,x-index,2026-09-13,
amanrsanger,Aman Sanger,https://x.com/amanrsanger,coding,person,en,AIコーディング製品、コードベースの理解、開発者体験。,https://x.com/amanrsanger/with_replies,x-index,2026-09-13,
AndrewYNg,Andrew Ng,https://x.com/AndrewYNg,research,person,en,機械学習教育、AIアプリケーション開発、業界動向。,https://x.com/AndrewYNg/status/1405622853735649284,x-index,2026-09-13,
AnthropicAI,Anthropic,https://x.com/AnthropicAI,labs,organization,en,モデルの能力、安全性研究、開発者向け資料。,https://x.com/AnthropicAI/with_replies?lang=ar,x-index,2026-09-13,
AravSrinivas,Aravind Srinivas,https://x.com/AravSrinivas,founders,person,en,AI検索、情報サービス、アプリケーションの利用体験。,https://x.com/AravSrinivas/status/1958385027185877066,x-index,2026-09-13,
AxtonLiu,Axton,https://x.com/AxtonLiu,chinese,person,zh,AIツールの使い方、自動化、製品活用の実践。,https://x.com/AxtonLiu/status/2038753399865544778,x-index,2026-09-13,
bcherny,Boris Cherny,https://x.com/bcherny,coding,person,en,コーディングエージェント製品と開発ワークフローの経験。,https://x.com/bcherny/with_replies,x-index,2026-09-13,
camenduru,camenduru,https://x.com/camenduru,creative,person,en,画像・動画・マルチモーダルの公開モデルを実行するための資料。,https://hub.docker.com/u/camenduru,owner-link,2026-09-13,
chelseabfinn,Chelsea Finn,https://x.com/chelseabfinn,robotics,person,en,ロボット学習、メタ学習、汎化の研究。,https://x.com/chelseabfinn/status/1894833652145758685,x-index,2026-09-13,
chipro,Chip Huyen,https://x.com/chipro,agents,person,en,AIシステム設計、評価、モデルを使ったアプリケーション開発。,https://x.com/chipro/status/1186651526338465792,x-index,2026-09-13,
cohere,Cohere,https://x.com/cohere,labs,organization,en,企業向け言語モデル、検索、アプリケーション技術の資料。,https://mobile.x.com/cohere/affiliates,x-index,2026-09-13,
DeepLearningAI,DeepLearning.AI,https://x.com/DeepLearningAI,media,organization,en,機械学習講座、AI教育、技術ニュース。,https://x.com/DeepLearningAI/status/2023472681442509285,x-index,2026-09-13,新しいXページは@DeepLearningAIを使用しています。古い資料では末尾にアンダースコアがあります。
