handle,name,url,category,kind,languages,why,source_urls,source_methods,source_checked_at,notes
1X_Tech,1X,https://x.com/1X_Tech,robotics,organization,en,가정용 로봇과 체화 AI 제품 소식을 전합니다.,https://1x.tech/,owner-link,2026-09-13,
abacaj,anton,https://x.com/abacaj,infra,person,en,"로컬 모델, 추론 엔지니어링, AI 개발 실험을 다룹니다.",https://x.com/abacaj/with_replies,x-index,2026-09-13,
AI21Labs,AI21 Labs,https://x.com/AI21Labs,labs,organization,en,언어 모델과 기업용 AI 제품 자료를 제공합니다.,https://x.com/AI21Labs/with_replies,x-index,2026-09-13,
AIatMeta,AI at Meta,https://x.com/AIatMeta,labs,organization,en,"모델, 개방형 AI, 연구의 공식 소식을 전합니다.",https://x.com/metaai/with_replies,owner-link,2026-09-13,
Alibaba_Qwen,Qwen,https://x.com/Alibaba_Qwen,labs,organization,en,"공개 모델, 멀티모달 기능, 기술 보고서를 제공합니다.",https://x.com/Alibaba_Qwen/status/1957502851888083197,x-index,2026-09-13,
allen_ai,Ai2,https://x.com/allen_ai,labs,organization,en,"공개 모델, 과학을 위한 AI, 연구 도구를 소개합니다.",https://x.com/allen_ai/status/1798440545574158768,x-index,2026-09-13,
altryne,Alex Volkov,https://x.com/altryne,creative,person,en,"생성형 AI 도구, 프로토타입, 창작 워크플로를 공유합니다.",https://x.com/altryne/status/2033954681752588308,x-index,2026-09-13,
amanrsanger,Aman Sanger,https://x.com/amanrsanger,coding,person,en,"AI 코딩 제품, 코드베이스 이해, 개발자 경험을 다룹니다.",https://x.com/amanrsanger/with_replies,x-index,2026-09-13,
AndrewYNg,Andrew Ng,https://x.com/AndrewYNg,research,person,en,"머신러닝 교육, AI 애플리케이션 개발, 산업 동향을 다룹니다.",https://x.com/AndrewYNg/status/1405622853735649284,x-index,2026-09-13,
AnthropicAI,Anthropic,https://x.com/AnthropicAI,labs,organization,en,"모델 능력, 안전성 연구, 개발 자료를 제공합니다.",https://x.com/AnthropicAI/with_replies?lang=ar,x-index,2026-09-13,
AravSrinivas,Aravind Srinivas,https://x.com/AravSrinivas,founders,person,en,"AI 검색, 정보 서비스, 애플리케이션 경험을 다룹니다.",https://x.com/AravSrinivas/status/1958385027185877066,x-index,2026-09-13,
AxtonLiu,Axton,https://x.com/AxtonLiu,chinese,person,zh,"AI 도구 사용, 자동화, 제품 활용 경험을 공유합니다.",https://x.com/AxtonLiu/status/2038753399865544778,x-index,2026-09-13,
bcherny,Boris Cherny,https://x.com/bcherny,coding,person,en,코딩 에이전트 제품과 개발 워크플로 경험을 공유합니다.,https://x.com/bcherny/with_replies,x-index,2026-09-13,
camenduru,camenduru,https://x.com/camenduru,creative,person,en,공개 이미지·영상·멀티모달 모델의 실행 자료를 제공합니다.,https://hub.docker.com/u/camenduru,owner-link,2026-09-13,
chelseabfinn,Chelsea Finn,https://x.com/chelseabfinn,robotics,person,en,"로봇 학습, 메타 학습, 일반화 연구를 다룹니다.",https://x.com/chelseabfinn/status/1894833652145758685,x-index,2026-09-13,
