handle,name,url,category,kind,languages,why,source_urls,source_methods,source_checked_at,notes
1X_Tech,1X,https://x.com/1X_Tech,robotics,organization,en,Домашние роботы и новости продуктов воплощённого ИИ.,https://1x.tech/,owner-link,2026-09-13,
abacaj,anton,https://x.com/abacaj,infra,person,en,"Локальные модели, инженерия инференса и эксперименты в ИИ-разработке.",https://x.com/abacaj/with_replies,x-index,2026-09-13,
AI21Labs,AI21 Labs,https://x.com/AI21Labs,labs,organization,en,Языковые модели и материалы о корпоративных ИИ-продуктах.,https://x.com/AI21Labs/with_replies,x-index,2026-09-13,
AIatMeta,AI at Meta,https://x.com/AIatMeta,labs,organization,en,"Официальные новости о моделях, открытом ИИ и исследованиях.",https://x.com/metaai/with_replies,owner-link,2026-09-13,
Alibaba_Qwen,Qwen,https://x.com/Alibaba_Qwen,labs,organization,en,"Открытые модели, мультимодальные возможности и технические отчёты.",https://x.com/Alibaba_Qwen/status/1957502851888083197,x-index,2026-09-13,
allen_ai,Ai2,https://x.com/allen_ai,labs,organization,en,"Открытые модели, ИИ для науки и исследовательские инструменты.",https://x.com/allen_ai/status/1798440545574158768,x-index,2026-09-13,
altryne,Alex Volkov,https://x.com/altryne,creative,person,en,"Инструменты генеративного ИИ, прототипы и творческие рабочие процессы.",https://x.com/altryne/status/2033954681752588308,x-index,2026-09-13,
amanrsanger,Aman Sanger,https://x.com/amanrsanger,coding,person,en,"Продукты для ИИ-программирования, понимание кодовой базы и опыт разработчика.",https://x.com/amanrsanger/with_replies,x-index,2026-09-13,
AndrewYNg,Andrew Ng,https://x.com/AndrewYNg,research,person,en,"Обучение машинному обучению, разработка ИИ-приложений и взгляд на отрасль.",https://x.com/AndrewYNg/status/1405622853735649284,x-index,2026-09-13,
AnthropicAI,Anthropic,https://x.com/AnthropicAI,labs,organization,en,"Возможности моделей, исследования безопасности и материалы для разработчиков.",https://x.com/AnthropicAI/with_replies?lang=ar,x-index,2026-09-13,
